index,small_i_count,all_caps_wordcount,sentence_wo_cap_at_start,sentence_lower_at_start,fullstop_wo_whitespace_count,a_an_error_count,cont_punct_count,quotation_count,emoticons_count,happy_emoticons_count,question_count,exclamation_count,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,he_she_ratio,swear_word_count
198,0,1,20,3,0,0,1,23,0,0,8,8,0.033280443,0.4988811,0.46783844,1.0,1
3621,0,0,19,0,0,0,0,19,0,0,7,4,0.4294259,0.4968709,0.07370323,0.7096774193548387,3
654,0,1,12,1,0,0,0,15,0,0,8,2,0.32753587,0.5617884,0.11067574,12.0,1
471,0,0,8,0,0,0,0,9,0,0,1,0,0.17661934,0.6344637,0.18891697,9.0,1
1937,0,5,10,2,0,0,0,9,0,0,3,4,0.47365654,0.46184152,0.06450196,8.0,5
1163,0,0,13,1,0,0,1,12,0,0,2,6,0.30553097,0.58591443,0.10855461,0.5384615384615384,2
759,0,3,32,8,0,1,0,32,0,0,12,10,0.5785151,0.365339,0.05614584,5.0,1
1292,0,15,29,1,0,0,0,31,0,0,12,10,0.26564232,0.6185858,0.11577187,0.35294117647058826,0
3622,0,0,15,0,0,0,0,13,0,0,5,0,0.09175983,0.57234687,0.33589327,1.1538461538461537,0
3027,0,0,23,3,0,0,1,23,0,0,4,8,0.3572965,0.5344513,0.10825219,0.4,2
69,0,2,18,0,0,0,26,9,0,0,8,1,0.3541098,0.5249361,0.12095407,3.0,0
1315,0,0,10,0,0,0,0,13,0,0,0,0,0.14832632,0.62514013,0.22653353,2.8,1
3008,0,0,15,0,0,0,1,15,0,0,3,8,0.71810085,0.2562346,0.025664559,0.36,2
1344,0,0,26,5,0,0,0,29,0,0,7,12,0.21024603,0.67140245,0.118351564,1.5,1
195,0,0,16,1,0,0,2,18,1,1,6,5,0.115911715,0.6273761,0.2567122,0.4444444444444444,0
532,0,3,24,1,0,0,2,22,2,1,9,6,0.40588465,0.42963523,0.16448013,1.3333333333333333,2
2833,0,0,20,3,0,0,0,17,0,0,9,0,0.29909876,0.51584494,0.18505627,0.125,1
874,0,6,12,0,0,0,0,18,0,0,0,0,0.120984964,0.7203668,0.15864822,0.4074074074074074,1
2339,0,0,3,0,0,0,3,9,0,0,3,6,0.34781843,0.5228218,0.12935975,11.0,1
2242,0,0,0,0,0,0,1,0,0,0,1,0,0.64891154,0.31707036,0.03401806,0.3,3
1011,0,0,15,0,0,0,2,17,0,0,2,0,0.32238206,0.5640779,0.113540046,0.7692307692307693,4
1829,0,0,19,0,0,0,0,25,0,0,10,1,0.31459928,0.5706691,0.114731535,1.1818181818181819,1
3020,0,0,16,1,0,0,0,20,0,0,6,6,0.16387156,0.6054533,0.23067516,15.0,1
227,0,1,14,2,0,0,2,15,0,0,3,4,0.19558679,0.64277005,0.16164322,1.2857142857142858,14
812,0,0,19,4,0,0,0,17,0,0,5,7,0.48888913,0.474114,0.036996827,0.45454545454545453,0
840,0,0,6,0,0,0,2,11,0,0,1,1,0.25438586,0.63717365,0.10844047,4.333333333333333,2
555,0,0,11,0,0,0,0,18,0,0,2,1,0.53350556,0.4078062,0.058688216,1.0,6
581,0,0,8,0,0,0,0,22,0,0,6,1,0.08579232,0.69982564,0.21438201,4.75,0
2886,0,1,12,1,0,0,1,12,0,0,2,0,0.23245348,0.6402039,0.12734261,3.3333333333333335,0
2704,0,0,19,0,0,0,0,19,0,0,8,0,0.097759254,0.56851506,0.33372563,0.8571428571428571,0
1003,0,21,5,0,0,1,0,13,0,0,3,12,0.3782371,0.5421991,0.079563856,2.0,0
1018,0,0,7,0,0,0,0,11,0,0,4,0,0.5777346,0.37675634,0.045509063,0.6666666666666666,1
2905,1,0,27,0,0,0,0,30,0,0,6,4,0.14877462,0.6697496,0.18147576,0.6363636363636364,0
847,0,0,14,3,0,0,0,16,0,0,5,5,0.31247193,0.5589905,0.12853755,0.30434782608695654,0
905,0,0,4,1,0,0,0,5,0,0,1,5,0.41329342,0.50835013,0.07835644,18.0,2
631,0,13,33,2,0,0,1,33,1,1,11,5,0.14739305,0.54360205,0.30900493,1.25,3
2273,0,0,6,1,0,0,0,9,0,0,1,1,0.37806895,0.5054124,0.116518684,1.0,0
2673,0,9,26,0,0,0,1,27,0,0,11,11,0.22489707,0.5749663,0.20013663,0.8181818181818182,1
2629,0,0,8,3,0,0,0,4,0,0,3,3,0.14412607,0.56311667,0.29275727,0.23076923076923078,0
162,0,4,12,0,9,0,3,10,0,0,8,7,0.30722427,0.53433746,0.15843822,4.5,4
2878,0,1,16,0,0,0,0,16,0,0,1,5,0.38276154,0.54387486,0.07336356,2.125,1
219,0,36,2,2,0,2,0,13,0,0,5,17,0.25148958,0.4879739,0.26053652,0.6666666666666666,0
1414,0,1,13,0,0,0,3,14,0,0,3,9,0.07489809,0.5212391,0.40386286,0.17647058823529413,0
3711,0,0,5,0,0,0,0,6,0,0,2,0,0.43750378,0.47294363,0.08955265,0.9333333333333333,1
2266,0,0,22,1,0,0,1,33,0,0,8,4,0.40225065,0.50035024,0.09739908,0.6428571428571429,1
2555,0,0,10,0,0,0,0,13,0,0,7,1,0.08133046,0.6254715,0.29319802,5.0,1
1233,0,0,9,1,0,0,0,11,0,0,16,7,0.3005726,0.50865954,0.19076782,6.0,0
925,0,0,13,1,0,0,0,12,0,0,3,0,0.5614491,0.38380682,0.054744024,0.4444444444444444,4
3813,0,0,13,0,0,0,0,14,0,0,6,0,0.10794539,0.6701542,0.22190037,1.3636363636363635,0
547,0,12,6,0,0,0,0,11,0,0,5,1,0.5371795,0.3912406,0.071579956,13.0,7
2118,0,0,26,0,0,0,0,31,0,0,10,0,0.12487171,0.49235162,0.38277665,11.0,1
1613,0,0,28,17,0,0,0,13,0,0,10,13,0.18811494,0.6240259,0.18785918,0.375,1
3158,0,0,1,1,0,1,0,17,0,0,7,5,0.020462858,0.6212674,0.35826978,0.7272727272727273,0
1362,0,4,5,0,0,0,2,6,0,0,5,3,0.055259775,0.4166917,0.5280486,1.2,0
568,0,0,12,0,0,0,0,11,0,0,1,1,0.12840666,0.571074,0.30051935,6.333333333333333,0
1094,0,0,14,1,0,0,0,13,0,0,0,7,0.40932143,0.5438893,0.04678923,0.45454545454545453,3
3100,0,2,31,1,0,1,0,34,0,0,9,11,0.5286252,0.39141992,0.07995491,3.3333333333333335,6
1494,0,0,4,0,0,0,0,4,0,0,3,4,0.207825,0.582861,0.20931397,1.1111111111111112,1
1336,0,1,5,1,0,0,0,6,0,0,4,4,0.3111991,0.5946974,0.09410351,4.0,0
3366,0,0,28,7,0,0,0,25,0,0,6,2,0.44140315,0.51159847,0.046998415,2.0,0
2859,0,0,23,1,0,0,1,21,0,0,6,1,0.48235053,0.46734264,0.05030684,2.25,0
1860,0,0,6,1,0,0,0,9,0,0,1,1,0.37806895,0.5054124,0.116518684,1.0,0
611,0,2,28,2,0,2,4,25,0,0,7,14,0.3180168,0.58572745,0.09625581,8.0,1
1826,0,0,25,2,0,2,0,27,1,0,17,8,0.47277433,0.46820405,0.059021655,1.0588235294117647,1
2102,0,0,14,0,0,0,0,14,0,0,2,3,0.052398507,0.31813246,0.62946904,1.1875,0
3511,0,0,6,0,0,0,2,6,0,0,0,0,0.3709834,0.51726353,0.11175303,0.5454545454545454,4
1392,0,0,1,1,0,0,0,0,0,0,4,0,0.3041324,0.5468286,0.14903894,0.07692307692307693,0
1721,0,0,4,2,0,0,0,10,0,0,1,0,0.54059803,0.42084485,0.038557068,1.3333333333333333,0
742,0,1,22,6,0,0,1,16,0,0,8,6,0.4142871,0.45203346,0.13367946,1.3846153846153846,4
637,0,0,6,1,0,1,1,10,0,0,1,1,0.14066587,0.68295205,0.17638204,1.5,1
3000,0,0,12,0,0,0,1,12,0,0,4,1,0.37707078,0.54112995,0.08179924,0.7272727272727273,0
3288,0,4,3,2,0,0,5,0,0,0,2,6,0.6592805,0.27756804,0.06315151,2.0,4
1720,0,0,4,0,0,0,0,14,0,0,4,1,0.4539891,0.48101327,0.06499767,13.0,2
3024,0,5,11,1,0,0,1,10,0,0,3,6,0.6067369,0.3518527,0.041410383,2.0,2
48,0,0,0,0,0,0,0,2,0,0,0,0,0.39133203,0.54739565,0.061272323,16.0,0
1572,0,1,11,0,0,0,4,10,0,0,6,5,0.2869965,0.6103131,0.10269043,24.0,1
921,0,0,17,0,0,0,0,18,0,0,0,0,0.14189334,0.63609624,0.22201043,0.25,2
3415,0,4,25,2,0,0,0,25,0,0,3,22,0.4097662,0.459345,0.13088883,6.0,11
1222,0,1,1,0,0,0,3,0,0,0,4,0,0.41252947,0.48878452,0.09868597,0.05405405405405406,2
2268,0,0,14,1,0,0,2,22,0,0,4,2,0.3384383,0.54557633,0.115985386,1.1,0
3635,0,1,14,1,0,0,0,15,0,0,4,1,0.2186699,0.6009435,0.18038659,0.05263157894736842,0
3220,0,1,10,0,0,0,0,9,0,0,1,0,0.5620116,0.38029554,0.057692856,0.45,1
1558,0,0,14,0,0,2,0,14,0,0,4,2,0.54778266,0.39757234,0.05464508,0.5217391304347826,3
3103,0,1,11,2,0,0,1,11,0,0,4,4,0.39968768,0.48905912,0.11125327,2.4,1
2893,0,0,21,0,0,0,0,21,0,0,6,0,0.26310772,0.5964779,0.14041439,2.857142857142857,0
2526,0,0,12,0,0,0,3,12,0,0,1,0,0.4964167,0.44767246,0.05591083,8.0,13
1116,0,0,17,6,0,0,0,11,0,0,5,1,0.23981656,0.61371666,0.14646678,0.6666666666666666,11
2335,0,6,6,1,0,0,5,8,0,0,0,7,0.32643482,0.52959436,0.14397082,11.0,0
3565,0,0,10,0,0,0,0,12,0,0,7,0,0.3146804,0.56277233,0.122547284,2.1,3
1532,0,0,2,1,0,0,0,1,0,0,1,0,0.15439612,0.7257394,0.119864464,0.13333333333333333,0
2672,0,1,19,0,0,0,1,20,0,0,6,15,0.3047018,0.5041321,0.19116609,0.5,1
1553,0,0,21,1,0,1,1,19,0,0,9,1,0.14168327,0.62071216,0.23760459,0.18181818181818182,5
